Gene Names,Cluster label
FAM19A1,20
FAM19A4,1
FAM20B,14
FAM21C,14
FAM26C,15
FAM35A,14
FAM3A,8
FAM3C,14
FAM3D,16
FAM45B,1
FAM55D,11
FAM58A,12
FAM5B,19
FAM69B,11
FAM71D,10
FAM71F1,20
FAM73B,8
FAM76B,14
FAM84B,14
FAM86A,1
FANCM,11
FAR2,17
FARSB,18
FAS,19
FASLG,7
FASTKD1,14
FASTKD3,20
FBLN1,19
FBXL17,19
FBXL20,8
FBXO11,7
FBXO18,18
FBXO2,16
FBXO22,20
FBXO22OS,20
FBXO28,7
FBXO4,14
FBXO44,5
FBXW5,8
FBXW7,6
FCGRT,12
FCHO2,7
FCRL6,12
FEM1C,14
FEV,6
FEZ1,11
FGD1,3
FGD2,2
FGD6,20
FGF18,18
FGFBP1,9
FGFBP2,13
FGFR4,2
FHL2,12
FHL3,12
FHL5,10
FILIP1,2
FILIP1L,4
FIT1,12
FITM2,5
FKBP1A,17
FKBP2,12
FKBP6,10
FKBP8,17
FKBPL,15
FKSG2,11
FLJ10357,12
FLJ10374,8
FLJ12529,15
FLJ20125,19
FLJ21865,19
FLJ22795,16
FLJ25006,20
FLJ32867,10
FLJ35816,6
FLJ35880,2
FLJ36070,9
FLJ40244,5
FLJ41046,15
FLJ42102,10
FLJ43806,2
FLJ43860,15
FLJ44060,3
FLJ44635,16
FLJ45966,16
FLJ46347,18
FLJ90757,12
FLOT2,12
FLT1,5
FLT4,3
FMNL2,11
FMO2,12
FN3K,18
FNIP1,17
FNTB,6
FOLR1,1
FOSL1,10
FOXD4,12
FOXF1,11
FOXK2,2
FOXL2,11
FOXN2,13
FOXR1,19
FREQ,20
FRMPD2L1,4
FRMPD2L2,10
FRS2,5
FRZB,10
FSCN2,11
FSD2,5
FSTL4,17
FUT11,19
FUT6,2
FVT1,7
FXC1,12
FXR1,14
FXR2,17
FXYD2,9
FXYD7,15
FYCO1,19
FZD10,19
FZD6,5
FZD7,12
G3BP1,13
G3BP2,11
GAB2,12
GABPAP,20
GABPB2,20
GABRA4,2
GABRB3,4
GAD1,8
GADL1,18
GAGE1,4
GAGE12I,9
GALC,7
GALE,11
GALNT10,1
GALNT12,20
GALNT13,9
GALNT14,19
GALNT4,14
GALNT6,8
GALNTL4,5
GAP43,8
GAPDH,17
GAPVD1,17
GAS2L1,9
GAS2L3,1
GAS8,5
GAST,15
GATA5,3
GATM,5
GBA,12
GBAS,14
GCC2,1
GCKR,1
GCM1,8
GCNT1,2
GDF2,10
GDF6,5
GDNF,9
GDPD3,2
GEMIN6,14
GEMIN7,2
GFM1,7
GFM2,4
GFRA2,6
GFRA3,18
GFRA4,6
GGA1,5
GGCX,20
GGPS1,14
GGT7,1
GGTLC1,18
GHSR,9
GIF,2
GIMAP6,20
GIPC1,12
GJA5,19
GJB3,1
GJB6,11
GJC2,12
GJD3,10
GLCE,14
GLI3,16
GLIS3,4
GLP1R,1
GLRB,15
GLRX2,6
GLS,8
GLT8D1,5
GLUD1,14
GLUL,12
GLYATL1,15
GLYCAM1,2
GLYCTK,6
GMFB,13
GNA12,17
GNA14,6
GNAI3,13
GNAO1,11
GNAS,17
GNAT1,2
GNB1L,6
GNG2,7
GNG5,8
GNG8,15
GNL2,7
GNL3,15
GNRH2,5
GOLGA2LY1,2
GOLPH3,14
GOLPH4,20
GOSR2,19
GP1BA,8
GPA33,12
GPAM,20
GPATCH1,19
GPBP1,7
GPC5,6
GPC6,12
GPD2,5
GPHN,4
GPNMB,5
GPR126,9
GPR128,14
GPR139,10
GPR141,7
GPR155,19
GPR158,9
GPR172A,19
GPR173,11
GPR179,6
GPR19,5
GPR20,19
GPR3,19
GPR37,16
GPR45,9
GPR52,18
GPR6,2
GPR61,11
GPR65,13
GPR68,12
GPR78,10
GPR82,5
GPR88,3
GPRC5A,2
GPS1,8
GPSM3,8
GPX2,16
GPX4,12
GRAMD1A,12
GRASP,19
GREB1,2
GRHL3,3
GRIN3B,3
GRINL1A,11
GRK4,3
GRK7,1
GRLF1,19
GRM4,1
GRM5,4
GRM7,1
GRP,20
GRWD1,8
GSDMB,8
GSG1,9
GSN,10
GSTA1,11
GSTA4,20
GSTCD,9
GSTM1,13
GSTM2,13
GSTT2,4
GTDC1,1
GTF2F2,14
GTF2H2,5
GTF2H5,14
GTF2IRD1,4
